"","method","corr_all","corr_2cat","corr_3cat","corr_rank","test","test2"
"1","divergence",-0.46,-0.45,-0.63,0.46,-0.54,0.08
"2","clark",-0.46,-0.45,-0.63,0.46,-0.54,0.08
"3","pearson",-0.44,-0.34,-0.48,0.44,-0.41,-0.03
"4","canberra",-0.38,-0.47,-0.57,0.38,-0.52,0.14
"5","kumar.johnson",-0.35,-0.34,-0.32,0.35,-0.33,-0.02
"6","wavehedges",-0.33,-0.46,-0.52,0.33,-0.49,0.16
"7","inner_product",-0.33,-0.23,-0.44,0.33,-0.34,0.01
"8","additive_symm",-0.3,-0.32,-0.25,0.3,-0.29,-0.01
"9","kullback.leibler",-0.28,-0.31,-0.2,0.28,-0.26,-0.02
"10","taneja",-0.28,-0.3,-0.23,0.28,-0.26,-0.02
"11","jeffreys",-0.25,-0.3,-0.18,0.25,-0.24,-0.01
"12","fidelity",0.21,0.3,0.11,0.21,0.2,0.00999999999999998
"13","bhattacharyya",-0.21,-0.3,-0.11,0.21,-0.2,-0.00999999999999998
"14","hellinger",-0.21,-0.3,-0.11,0.21,-0.2,-0.00999999999999998
"15","matusita",-0.21,-0.3,-0.11,0.21,-0.2,-0.00999999999999998
"16","squared_chord",-0.21,-0.3,-0.11,0.21,-0.2,-0.00999999999999998
"17","jensen.shannon",-0.19,-0.28,-0.1,0.19,-0.19,0
"18","jensen_difference",-0.19,-0.28,-0.1,0.19,-0.19,0
"19","harmonic_mean",0.16,0.26,0.07,0.16,0.16,0
"20","squared_chi",-0.16,-0.26,-0.07,0.16,-0.16,0
"21","prob_symm",-0.16,-0.26,-0.07,0.16,-0.16,0
"22","neyman",-0.14,-0.18,-0.05,0.14,-0.11,-0.03
"23","cosine",-0.05,0.16,-0.25,0.05,-0.04,-0.01
"24","manhattan",-0.04,-0.19,0.11,0.04,-0.04,0
"25","sorensen",-0.04,-0.19,0.11,0.04,-0.04,0
"26","soergel",-0.04,-0.19,0.11,0.04,-0.04,0
"27","kulczynski_d",-0.04,-0.19,0.11,0.04,-0.04,0
"28","lorentzian",-0.04,-0.19,0.11,0.04,-0.04,0
"29","intersection",0.04,0.19,-0.11,0.04,0.04,0
"30","non.intersection",-0.04,-0.19,0.11,0.04,-0.04,0
"31","czekanowski",-0.04,-0.19,0.11,0.04,-0.04,0
"32","motyka",-0.04,-0.19,0.11,0.04,-0.04,0
"33","kulczynski_s",0.04,0.19,-0.11,0.04,0.04,0
"34","tanimoto",-0.04,-0.19,0.11,0.04,-0.04,0
"35","ruzicka",0.04,0.19,-0.11,0.04,0.04,0
"36","hassebrook",-0.04,0.14,-0.2,0.04,-0.03,-0.01
"37","jaccard",0.04,-0.14,0.2,0.04,0.03,0.01
"38","dice",0.04,-0.14,0.2,0.04,0.03,0.01
"39","gower",-0.02,-0.19,0.11,0.02,-0.04,0.02
"40","avg",-0.02,-0.17,0.14,0.02,-0.01,-0.01
"41","chebyshev",0.01,-0.14,0.16,0.01,0.01,0
"42","euclidean",0,-0.15,0.15,0,0,0
"43","squared_euclidean",0,-0.15,0.15,0,0,0
"44","k_divergence",NA,-0.2,NA,NA,NA,NA
"45","topsoe",NA,-0.28,NA,NA,NA,NA
